教羅	注音二式	注音	CJK	造字區
a0	a9		仔啊
sui3	sui3		戌戍帥祟淬睟碎睡粹誶邃
sui5	sui5		垂倕圌脽陲隋棰葚箠誰隨錘
sui7	sui7		戌戍祟瑞罪遂睡隧燧穗繐襚	
suinn	suinn		孫栓痠算酸	
suinn2	suinn2		水耍損戲
suinn3	suinn3		算繏
suinnh	suinnh		嗅
sun	sun		孫飧搎猻蓀
sun2	sun2		吮恂笋筍損榫戰簨	
sun3	sun3		迅孫巽舜順遜噀潠瞬
sun5	sun5		循焞詢馴蒓蓴醇錞鶉
sun7	sun7		殉循順
sut	sut		蔌糏瞬蟀	
sut8	sut8		朮沭述秫唰術訹鉥噊譎	
ta	da		丈大姑奓枯凋乾焦潐礁	
ta2	da2		那底哪	
ta3	da3		吒奓帳嗟罩踔	
ta5	da5		奈茶焦搽燋
ta7	da7		大代奈
tah	dah		勺打呾答貼搨搭撘瘩	
tah8	dah8		值踏	
tai	dai		呆秪獃嬯懛	
tai2	dai2		歹歺炱滓	
tai3	dai3		帶蒂載遞戴螮襶
tai5	dai5		台坮奈抬炱炲埋跆臺駘儓檯薹	
tai7	dai7		貸逮瑇載戴黛靆
tainn2	dainn2		大歹刐咍宰短斷	
tainn3	dainn3		店
tainn5	dainn5		還
tainn7	dainn7		佃奠	
tak	dak		豛喌綴諑篤斵觸	
tak8	dak8		毒逐碡濁獨篤鱁黷	
tam	dam		坍担眈耽啖聃舑躭酖湛嘗儋擔	
tam2	dam2		丼胆紞偡啖啗萏窞噉膽	
tam3	dam3		丼店担站淡頕儋擔	
tam5	dam5		倓淡淫郯湛痰潭談澹蕁錟餤譚	
tam7	dam7		倓啖啗惔淡氮琰菼萏賧醈憺澹禫	
tan	dan		丹釘單登鄲噸殫癉禪簞襌
tan2	dan2		刐疸等	
tan3	dan3		旦但呾疸釘掞蛋僤誕癉擲	
tan5	dan5		亭陳填鳴彈撣檀	
tan7	dan7		但蛋袒蜑彈憚撣誕	
tang	dang		中冬咚東苳棠菄當噹璫鐺	
tang2	dang2		担陡滓當董擔懂黨
tang3	dang3		倲凍眮棟當儅檔	
tang5	dang5		同桐茼棠童筒筩銅	
tang7	dang7		洞重動	
tann	dann		丁中今旦担當儋擔瞻	
tann2	dann2		打抌侹挺疸笪掌膽
tann3	dann3		呾担訂說談擔檐
tann5	dann5		重熑誔彈	
tann7	dann7		掞掟淡惰覃誔誩擲	
tap	dap		耷荅傝答嗒搭瘩褡鎝	
tap8	dap8		沓喋嗒遝踏嚃蹋	
tat	dat		妲笪靼噠
tat8	dat8		值涬笛笪達薘鐽
tau	dau		兜逗嘲	
tau2	dau2		斗抖肚枓倒島捯
tau3	dau3		午到鬥晝淖鬦罩跳踔龎
tau5	dau5		投脰骰
tau7	dau7		豆脰荳逗渡痘讀
tauh	dauh		罩篤	
tauh8	dauh8		沓逐瀆	
te	de		氐低柢炱牴爹羝袛堤觝隄	
te2	de2		底抵邸垛柢短貯鮓	
te3	de3		碲綴蝃締蔕褅諦戴螮蹛
te5	de5		炱茶荑偍稊搽綈禔緹踶蹄題
te7	de7		棣睇滯禘遞遰銻踶
teh	deh		在啄惙掇硩壓簀	
teh8	deh8		在地汐窄舴處奪	
tenn	denn		侂瞠	
tenn2	denn2		打
tenn3	denn3		盯佯侂瞪	
tenn5	denn5		挰桯
tenn7	denn7		抦挰掟桯鄭擲
tennh8	dennh8		擲
tha	ta		他她
tha3	ta3		奼侘咤奓姹挓蛇詫踔	
thah	tah		汰盍豈塌塔搭榻踢噠躂鰨	
thah8	tah8		沓匒疊
thai	tai		台抬治邰炱炲胎苔颱駘篩鮐擡檯	
thai2	tai2		忕呔豈態癩	
thai3	tai3		太汏呔汰泰鈦態	
thai5	tai5		夷刣治邰殺臺	
thai7	tai7		待態駘癩
thainn3	tainn3		腆
thainn7	tainn7		挺梃
thak	tak		斥剔	
thak8	tak8		讀
tham	tam		呫探貪撢
tham2	tam2		忐毯菼	
tham3	tam3		探撢
tham5	tam5		覃痰墰撢潭曇檀罈蟫壜
tham7	tam7		窞撢	
than	tan		嘽蟶攤灘癱
than2	tan2		坦妲侹挺疸袒毯趂亶綻靼癉	
than3	tan3		炭湠趁趂嘆碳歎
than5	tan5		彈談壇檀
thang	tang		可囪桐窓通窗熥窻	
thang2	tang2		桶統
thang3	tang3		疼迵透通痛	
thang5	tang5		虫桐童筒蟫蟲	
thang7	tang7		弄動笭筩	
thann	tann		他
thann2	tann2		托坦侹挺掌撐
thann7	tann7		娗飭飾靘靚
thap	tap		凹傝塌塔搨榻漯遢錔嚃濌蹋闒鞳鰨	
that	tat		汏怛羍剔窒塞榻踢撻獺躂闥韃	
that8	tat8		羍塞	
thau	tau		偷
thau2	tau2		透敨解	
thau3	tau3		套透
thau5	tau5		調頭
thau7	tau7		毒頭
thauh8	tauh8		沓
the	te		胎苔推梯釵牚撐	
the2	te2		体醍體
the3	te3		髢剃涕退啻替禘裼薙	
the5	te5		鵜騠鶗
the7	te7		蚱啻傫摕鮓儽	
theh	teh		提貼徹澈裼遞擇	
theh8	teh8		宅挓提摕遞擇	
thenn	tenn		牚撐	
thenn3	tenn3		挺牚撐
thenn5	tenn5		挰程瞪騰
thi	ti		攄魑黐
thi2	ti2		宁佇抒杵杼苧展恥竚紵貯搋褚褫
thi3	ti3		剃翅跮滯疐褫嚏懥薙懘懫	
thi5	ti5		苔啼耡雉鋤
thi7	ti7		雉
thiah	tiah		拆柝
thiak	tiak		畜搉	
thiam	tiam		呫添
thiam2	tiam2		忝殄悿舔銛餂諂	
thiam3	tiam3		忝栝悿掭	
thiam5	tiam5		恬菾
thiam7	tiam7		沉湛	
thian	tian		天吞迗顛	
thian2	tian2		殄展捵腆搌痶覥蕆囅
thian3	tian3		掭瑱
thian5	tian5		田嗔填瘨謄闐癲
thiang3	tiang3		鬯暢
thiann	tiann		聽廳
thiann2	tiann2		奵艼
thiann3	tiann3		忝疼悿痛聽	
thiann5	tiann5		程
thiann7	tiann7		支定重撐	
thiap	tiap		呫帖貼跕
thiap8	tiap8		疊	
thiat	tiat		佚怢哲硩鉄僣徹撤澈銕餮躂鐵驖
thiau	tiau		刁佻弨怊恌挑迢祒祧超蓧
thiau2	tiau2		叼挑朓掉窕誂
thiau3	tiau3		脁眺覜趒跳頫糶
thiau5	tiau5		特條鮡鰷	
thiau7	tiau7		柱祧	
thih	tih		剃鐵
thih8	tih8		怢昳粚喋諜黐
thik	tiek		惕敕逖逷飭跮逿裼頔慝踢遫趯
thik8	tiek8		宅
thim	tim		郴琛鴆
thim2	tim2		
thim3	tim3		侺疢揕鈂頓鴆闖	
thim5	tim5		瘎	
thim7	tim7		沉
thin	tin		湯
thin3	tin3		疢趁趂齔
thin5	tin5		滕	
thin7	tin7		陣媵	
thing	ting		汀桯牚撐橕瞠鐺聽廳	
thing2	ting2		裎鋌鞓頲騁寵
thing3	ting3		听庭挺疼牚痛撐鐙聽
thing5	ting5		呈廷亭枰疼停程媵蜓裎縢謄騰	
thing7	ting7		挺
thinn	tinn		天添牚撐
thinn2	tinn2		挺捵
thinn3	tinn3		梃牚撐撑
thinn5	tinn5		挰瞪騰
thinn7	tinn7		紩袒綻緻	
thio	tior		挑莜蓧
thio3	tior3		漂糶
thio5	tior5		投挑跳頭
thiok	tiook		斥畜搐蓄
thiok8	tiook8		搐
thiong	tiong		盅翀衷
thiong2	tiong2		冢塚寵	
thiong3	tiong3		鬯悵暢賬
thiong5	tiong5		虫种倀蟲爞
thit	tit		彳佚怢抶勅勑敕飭遫	
thit8	tit8		抶直	
thiu	tiu		妯抽紬瘳
thiu2	tiu2		丑杻
thiu3	tiu3		擇
thiunn2	tiunn2		丑
thng	tng		湯
thng3	tng3		兌脫湯燙褪	
thng5	tng5		傳腸團糖醣
thng7	tng7		杖炖段湯搪煅舓熥燙檔盪	
tho	tor		縚韜饕
tho2	tor2		可妥討媠撱橢
tho3	tor3		妥套庹透唾毻	
tho5	tor5		亍佗迌洮迱桃詑祹裪	
thoh	torh		拓倒魠頭	
thoh8	torh8		踱	
thok	took		斥托拓柝套託庹飥槖魠魄橐蘀籜	
thok8	took8		牘讀黷
thom	toom		丼
thom5	toom5		丼
thom7	toom7		沈
thong	tong		丼恫痌通湯熥膛蹚鼕鏜鼞	
thong2	tong2		戃矘钂
thong3	tong3		痛暢盪
thong5	tong5		糖餳
thong7	tong7		宕挏重幢蕩盪
thoo	too		偷
thoo2	too2		土吐釷敨黈	
thoo3	too3		付吐兎兔咅度堍透唾渡菟禪
thoo5	too5		土圡泥桃涂塗頭
thoo7	too7		渡
thu	tu		株摴樗攄
thu2	tu2		土佇抒杵杼苧竚紵貯褚
thu5	tu5		跓耡鉏鋤儲躇躕
thu7	tu7		筋筯箸	
thua	tua		拖
thua3	tua3		泰
thua5	tua5		汰
thua7	tua7		汰豸涗導	
thuah	tuah		汏汰挩涗屜脫獺躂鰈	
thuan	tuan		湍貒
thuan2	tuan2		瘓踹疃
thuan3	tuan3		彖煅煆碫碬篆踹鍛	
thuan5	tuan5		傳椽瑑團慱摶縳糰鱄	
thuan7	tuan7		篆
thuann	tuann		攤灘癱
thuann2	tuann2		担剷	
thuann3	tuann3		炭泰脫袒湠覃綻澶
thuann5	tuann5		傳攤
thuat	tuat		挩梲脫	
thue	tue		推釵焞	
thue2	tue2		體
thue3	tue3		退替毻蛻煺螁	
thue5	tue5		痥
thue7	tue7		傫儽	
thueh	tueh		替
thueh8	tueh8		挓提摕	
thuh	tuh		托禿拓突套挩梲魠	
thuh8	tuh8		吶揬詘戇	
thui	tui		推梯笞焞煺	
thui2	tui2		俀腿骽蹆	
thui3	tui3		兌退脫唾替毻蛻	
thui5	tui5		椎槌錘鎚	
thui7	tui7		倕累傫膇墜縋儽
thuinn3	tuinn3		毤褪
thuinn5	tuinn5		傳塠
thuinn7	tuinn7		燙檔	
thun	tun		吞杶炖芚涒焞椿暾燉黗鶉	
thun2	tun2		汆畛跈腯畽踐黗疃蹍蠢	
thun3	tun3		忳飩褪	
thun5	tun5		豚鈍黗
thun7	tun7		坉填墊	
thut	tut		禿怵捸絀脫詘腯黜鵚	
thut8	tut8		禿突捸脫黜殰	
ti	di		知姝邾株秪袛椥猪隄誅蜘豬	
ti2	di2		軧徵骶
ti3	di3		觶
ti5	di5		除乿蚳滁鉏馳箎墀誰踟鋤篨篪遲儲
ti7	di7		乿偫畤痔彘棣筋滍稚筯雉滯箸遞薙	
tia	dia		爹
tia2	dia2		嗲	
tia3	dia3		
tia7	dia7		哋
tiah	diah		摘
tiah8	diah8		滌擇澤糴
tiak	diak		竹剔摘彈噣擿	
tiak8	diak8		着逐著	
tiam	diam		坫沾敁枮玷砧站掂揕椹鉆碪霑	
tiam2	diam2		煔點
tiam3	diam3		占坫店阽扂玷站惦覘殿墊踮
tiam5	diam5		沈沉恬甜奩餂
tiam7	diam7		恬扂倓站啖惦湉墊憺簟	
tian	dian		傎滇蹎顛巔癲
tian2	dian2		典展搌碘蹍輾
tian3	dian3		殿	
tian5	dian5		田佃畋填滇鈿廛瀍纏躔	
tian7	dian7		田佃甸奠殿鈿電墊橂澱靛
tiang	diang		冬張當璫
tiang2	diang2		仗長
tiang3	diang3		帳悵脹漲瘬
tiang5	diang5		長場萇腸
tiang7	diang7		丈仗杖長
tiann	diann		朾傎椗碇顛	
tiann2	diann2		頂鼎鐤
tiann3	diann3		矴定椗碇
tiann5	diann5		呈埕庭程
tiann7	diann7		定碇錠靛
tiap	diap		摺輒輙霎	
tiap8	diap8		疊
tiat	diat		佚哲喆臷
tiat8	diat8		徹輒轍
tiau	diau		鯛鵰
tiau2	diau2		佻屌鳥	
tiau3	diau3		刁弔召伄吊掉釣調窵	
tiau5	diau5		稠趒滌蜩嘲寮廟潮蓧調髫鯈櫥齠
tiau7	diau7		召兆晁掉旐肇趙銚調鼂	
tiauh8	diauh8		沓
tih	dih		在嘀滴擿	
tih8	dih8		在挃值笛碟
tik	diek		謫蹢鏑讁
tik8	diek8		澤擢蟄擲蹢糴躑
tim	dim		沉砧揕鬽碪鴆	
tim2	dim2		丼戡
tim3	dim3		抌沈揕鈂頓鴆擲	
tim5	dim5		沈沉	
tim7	dim7		朕眹煁鴆燂燖	
tin	din		玎垂津珍徵
tin2	din2		展振頂震轉
tin3	din3		陣陳鎮
tin5	din5		陳塵澂澄蔯藤籐
tin7	din7		陣陳
ting	ding		磴簦蹬癥
ting2	ding2		町典虰酊頂等戥鼎嵿
ting3	ding3		嶝鄭瞠磴擲鐙
ting5	ding5		裎酲滕澂澄霆橙縢諪瞪謄懲藤籐
ting7	ding7		壂橂錠蹬
tinn	dinn		珍掂甜靪睜瞠	
tinn2	dinn2		挺
tinn3	dinn3		盯佯侂殿瞪	
tinn5	dinn5		挃值挰桯鈿纏
tinn7	dinn7		沺洔挰掟桯淀填滇滿漲鄭擲闐
tinnh8	dinnh8		挃要
tio0	dior9		着著
tio	dior		都
tio2	dior2		斗
tio3	dior3		吊釣
tio5	dior5		投長趒跳趙潮
tio7	dior7		兆迪掉稠趙銚嚉讀	
tioh	diorh		拕挓掇着著搐擢	
tioh8	diorh8		着著
tiok	diook		竹竺筑築斸
tiok8	diook8		妯柚迪舳逐筑著軸蓫篴	
tiong	diong		中忠衷張
tiong2	diong2		長塚
tiong3	diong3		中帳悵涱脹漲賬
tiong5	diong5		長重場萇腸
tiong7	diong7		丈仗仲杖重揰
tionn	dioonn		張
tionn2	dioonn2		長
tionn3	dioonn3		帳脹痮漲
tionn5	dioonn5		場
tionn7	dioonn7		丈
tip8	dip8		蟄
tit	dit		哲得
tit8	dit8		侄直姪值秩蟄
tiu	diu		丟銩	
tiu2	diu2		肘
tiu3	diu3		咮晝裯
tiu5	diu5		惆淘紬稠綢裯儔縢幬懤鯈疇籌躊
tiu7	diu7		住宙冑紂胄酎晝粙逗稩稻繇籀	
tiuh	diuh		抽拕搐	
tiunn	diunn		張
tiunn2	diunn2		長
tiunn3	diunn3		帳脹漲
tiunn5	diunn5		場
tiunn7	diunn7		丈
tng	dng		張當
tng2	dng2		返涱漲斷轉
tng3	dng3		當頓燙	
tng5	dng5		長段唐堂童傳剸塘腸騰
tng7	dng7		丈搪當撞擋燙蕩檔盪斷	
to0	dor9		倒
to	dor		刀忉多氘灺釖都魛裯
to2	dor2		跺躲鍺壔幬擣檮禱鬌
to3	dor3		到垛倒癉
to5	dor5		啕庹掏淘紽袉陶萄跎酡跳鉈馱裪駝
to7	dor7		纛
toh	dorh		卓倬桌啄棹
toh8	dorh8		焯擇	
tok	dook		琢督硺酷斲諑噣篤斵
tok8	dook8		襗躅鐲鐸覿讀髑纛黷讟
tom	doom		丼
tom2	doom2		鼕
tom3	doom3		頓鼕	
tom5	doom5		丼
tong	dong		璫鼕簹襠鶇鐺
tong2	dong2		党董懂黨讜	
tong3	dong3		侗倲凍棟當慟蝀儅潼擋檔譡戇	
tong5	dong5		磄曈朣犝瞠膧螗盪瞳穜罿螳赯醣餳
tong7	dong7		撞蕩盪攩
too	doo		多都闍
too2	doo2		斗抖肚枓島蚪陡堵鬦楮睹褚覩賭	
too3	doo3		妒妬鬪柘鬥鬦斁蠹鬬	
too5	doo5		余投徒涂屠荼途菟塗瘏圖酴骰廚駼
too7	doo7		讀
top	doop		喥	
top8	doop8		
tsa	tza		丈拕咱挓柤查渣楂遮皻齇	
tsa2	tza2		早蚤
tsa3	tza3		鮓醡
tsa5	tza5		槎
tsa7	tza7		乍昨
tsah	tzah		扎抸紥紮閘鍤
tsah8	tzah8		卡昨柵炸族閘截鍘	
tsai	tzai		才災灾知哉栽烖崽菑睵齊儕擠齋
tsai2	tzai2		怎指宰趾崽滓載	
tsai3	tzai3		再在哉債載	
tsai5	tzai5		才材財裁儕臍
tsai7	tzai7		在豸怎廌載	
tsainn	tzainn		知指
tsainn2	tzainn2		怎指宰笫崽滓載縡
tsainn5	tzainn5		前
tsak	tzak		促捉齪
tsak8	tzak8		族嗾擉濁濺
tsam	tzam		尖沾針喒噆簪臢	
tsam2	tzam2		斬嶄	
tsam3	tzam3		站蹔蘸	
tsam5	tzam5		慚巉讒
tsam7	tzam7		站斬塹嶄暫槧賺劖鏨巉	
tsan	tzan		曾層踵罾繒	
tsan2	tzan2		喒琖盞儹攢讚趲	
tsan3	tzan3		饡
tsan5	tzan5		前殘層甑	
tsan7	tzan7		助棧贈贊
tsang	tzang		棕綜艐騌鬃騣鯼髒	
tsang2	tzang2		揔摠總鬃	
tsang3	tzang3		壯粽綜髒	
tsang5	tzang5		掙叢藏欉	
tsann2	tzann2		斬剸整
tsann3	tzann3		旵抯炸摣蘸	
tsann5	tzann5		攙	
tsann7	tzann7		抯拃摣鍘	
tsannh	tzannh		閘齟
tsannh8	tzannh8		鍘
tsap	tzap		帀匝札汁浹唼劄	
tsap8	tzap8		十什拾嘖襍雜	
tsat	tzat		扎匝札咂砸唼啐紮節賊劄	
tsat8	tzat8		宱寂窒寔塞實質鰂	
tsau	tzau		抓笊焦燋糟蹧	
tsau2	tzau2		爪早走姐笊蚤	
tsau3	tzau3		灶奏櫂躁竈
tsau5	tzau5		巢剿勦褿	
tsau7	tzau7		找棹櫂	
tsauh	tzauh		抯寂
tsauh8	tzauh8		哳數雜譙
tsaunn2	tzaunn2		(怎樣)
tse0	tze9		
tse	tze		樝遮儕劑嚌擠隮齋臍薺癠穧躋齎虀
tse2	tze2		姉姊姐泲啐這鮓擠濟癠鱭	
tse3	tze3		際齊劑瘵穄嚌擠濟簀縩贅穧霽鰶
tse5	tze5		齊臍癠蠐
tse7	tze7		濟穧
tseh	tzeh		仄拭雀睫節撮簀績癤	
tseh8	tzeh8		啐絕截	
tsenn	tzenn		爭晶
tsenn2	tzenn2		井
tsenn3	tzenn3		爭諍
tsenn5	tzenn5		晴
tsenn7	tzenn7		靜
tsh	tzh		咋嘖	
tsha	tsa		叉扠汊岔杈衩差釵嗏蹉
tsha2	tsa2		吵炒焣煼	
tsha3	tsa3		吒吵侘咤衩鈔詫瘥
tsha5	tsa5		材查柴茈茶槎碴
tsha7	tsa7		吵喳嘈
tshah	tsah		臿喢插鍤	
tshah8	tsah8		
tshai	tsai		杈差偲啋猜釵
tshai2	tsai2		采寀彩採睬跴綵踩
tshai3	tsai3		埰菜瘥蔡縩蠆
tshai5	tsai5		才材柴豺財祡裁儕纔
tshai7	tsai7		在祀倳	
tshainn	tsainn		千悽
tshainn2	tsainn2		采彩採睬
tshainn3	tsainn3		襯
tshainn5	tsainn5		蠶
tshak	tsak		察漆擉簇
tshak8	tsak8		簎鑿
tsham	tsam		參摻攙鑱
tsham2	tsam2		朁慘憯磣黲
tsham3	tsam3		塹槧懺襯讖
tsham5	tsam5		饞
tsham7	tsam7		潸
tshan	tsan		千呻孱潺親餐	
tshan2	tsan2		剗筅鏟羼驏
tshan3	tsan3		粲綻燦璨襯
tshan5	tsan5		田埩殘塍蜻蠶
tshang	tsang		怱穿娼清葱蒼瘡蔥聰	
tshang2	tsang2		冗惚鬉
tshang3	tsang3		敞聳藏	
tshang5	tsang5		漴	
tshann2	tsann2		吵整
tshann3	tsann3		錚	
tshann7	tsann7		錚	
tshap	tsap		扱臿眨偛喢插歃鍤	
tshap8	tsap8		眨喢	
tshat	tsat		刷剎軸察漆嚓擦礤
tshat8	tsat8		賊
tshau	tsau		吵抄鈔剿勦搊噪操繅臊謅繰
tshau2	tsau2		吵炒草訬稍楚煼謅	
tshau3	tsau3		笊臭湊鈔
tshau5	tsau5		移揪愁
tshau7	tsau7		嘈
tshauh	tsauh		眨
tshauh8	tsauh8		沓喢噪
tshe	tse		釵棲萋龡鑱
tshe2	tse2		仛此扯泚眦紪撦髓
tshe3	tse3		摖瘥膬擦
tshe5	tse5		查棰箠	
tshe7	tse7		尺坐泚尋嚌	
tsheh	tseh		冊柵唶啜戚廁惻掣策慽嘬慼撮歠	
tsheh8	tseh8		唶	
tshenn	tsenn		生青星圊清菁腥親鮮
tshenn2	tsenn2		醒濪
tshenn3	tsenn3		腥
tshenn5	tsenn5		鑱
tshenn7	tsenn7		錚鑱
tshi	chi		嗤媸嵯痴睢腮雎雌鴟趨蹉雛顋颸癡
tshi2	chi2		此侈取杵恥耻處誃鼠齒	
tshi3	chi3		試翨趣熾磜覷
tshi5	chi5		伹持洳徐	
tshi7	chi7		市娶飼蹉	
tshia	chia		吒車穿捙奢硨譇
tshia2	chia2		且灺赤哆炨偖
tshia3	chia3		笡	
tshia5	chia5		斜
tshiah	chiah		赤刺側雀赭鍤
tshiah8	chiah8		杓斜	
tshiak	chiak		辵斫雀皵碏綽踔鵲觸
tshiak8	chiak8		摵踔觸	
tshiam	chiam		尖參笘釺僉幨憸簽襜殲鐱籤纖	
tshiam2	chiam2		丳槧鋟鐕鑯	
tshiam3	chiam3		釤僣僭鑯	
tshiam5	chiam5		棎澘鑯鑱	
tshian	chian		千仟扦阡芊遷燀褼櫏躚韆	
tshian2	chian2		倘剪淺棧諓殫錢闡儻	
tshian3	chian3		刊刋倩栫茜蒨	
tshian5	chian5		田延腸儃嘽諓遷讓	
tshiang	chiang		昌倀倡娼將猖菖槍瑲閶蹌鎗鏘鯧
tshiang2	chiang2		冗宂昶倘敞傸搶僘廠慫趟氅蹌儻
tshiang3	chiang3		昶倡唱淌蹌
tshiang5	chiang5		薔颺瀼
tshiang7	chiang7		冲匠淌像衝趟
tshiann	chiann		清笡纖	
tshiann2	chiann2		且請
tshiann3	chiann3		倩赾
tshiann5	chiann5		成
tshiap	chiap		妾窃眨偛唼啑椄踥霎竊
tshiat	chiat		切沏跕	
tshiat8	chiat8		跕	
tshiau	chiau		抄怊超搜摶摷摻幧操鍫鍬
tshiau2	chiau2		悄眧愀稍
tshiau3	chiau3		俏咲哨笑偢愀嘯歗鞘	
tshiau5	chiau5		移揪綃撨矯鍫鍬	
tshiau7	chiau7		誚
tshiauh	chiauh		眧踥	
tshiauh8	chiauh8		踥踿	
tshih	chih		砌閃	
tshih8	chih8		扼壓蠽	
tshik	chiek		廁惻斮測策粟嘁慽漆慼膝蹙鵲觸顣
tshik8	chiek8		俶摵踔趩蹙蹠	
tshim	chim		侵枮參深綅駸
tshim2	chim2		侵寑寢鋟踸纔	
tshim3	chim3		沁譖贜	
tshim5	chim5		涔尋鑱
tshin	chin		千皴新瞋親
tshin2	chin2		吲淺齔
tshin3	chin3		凊秤清稱濪齔儭櫬襯	
tshin5	chin5		陳
tshing	ching		鯖鶄
tshing2	ching2		惝掅逞筅睛箲請	
tshing3	ching3		擤襯
tshing5	ching5		松倀常傖榕趟橙蠶	
tshing7	ching7		穿掁頌墭撐襯	
tshinn	chinn		生青星胜圊悽淒清菁睛腥親鮮蘚	
tshinn2	chinn2		淺醒濪
tshinn3	chinn3		刺搢腥靚	
tshinn5	chinn5		趟瞪瀳
tshinn7	chinn7		栻
tshinnh	chinnh		
tshio	chior		秋哨峭湫嫧霄	
tshio3	chior3		俏笑唱	
tshio5	chior5		蟯
tshio7	chior7		灼照耀
tshioh	chiorh		尺呎哧迹婥焟跡奭臅螫蹟	
tshioh8	chiorh8		席蓆
tshiok	chiook		綽蜡數槭趣踔踧篧斶臅蹙蹴鵲灂觸
tshiok8	chiook8		促浞淖摶踿	
tshiong	chiong		槍瑲憃憧樅蓯衝閶縱蹌蹡鎗鏘鏦鯧
tshiong2	chiong2		昶倡悚淌敞竦搶廠慫氅
tshiong3	chiong3		倡唱從揰嗆愴銃衝縱蹌	
tshiong5	chiong5		戕腸墻嬙檣牆薔蹖
tshiong7	chiong7		匠穿
tshionn	chioonn		猖菖像槍鎗鯧
tshionn2	chioonn2		搶廠
tshionn3	chioonn3		唱
tshionn5	chioonn5		揚牆薔颺
tshionn7	chioonn7		上匠汲相畜象傭像鞝
tship	chip		蕺
tshit	chit		七彳叱拭柒漆	
tshiu	chiu		鰍鶖鑐鬚犫
tshiu2	chiu2		手取帚首偢瞅醜贖
tshiu3	chiu3		臭偢甃皺	
tshiu5	chiu5		仇囚售揪愁揫詶酬
tshiu7	chiu7		楊樹
tshiunn	chiunn		昌象像槍鎗鯧
tshiunn2	chiunn2		取惝搶廠
tshiunn3	chiunn3		唱啾嗆	
tshiunn5	chiunn5		牆薔
tshiunn7	chiunn7		上匠畜象像橡
tshng	tsng		川伸村邨穿倉栓傖滄瘡艙
tshng2	tsng2		擤	
tshng3	tsng3		寸串穿嗆竄	
tshng5	tsng5		床牀
tshngh	tsngh		啜嗅嗆
tshngh8	tsngh8		啜
tsho	tsor		嵯搓瑳磋操臊蹉鯹鹺	
tsho2	tsor2		艸草楚懆騲	
tsho3	tsor3		蹉譟
tsho5	tsor5		瘥	
tshoh	tsorh		諎	
tshok	tsook		昔剒厝撮蔟錯簇戳觸齪
tshok8	tsook8		鑿
tshong	tsong		瑲蒼瘡蔥憽窻艙聰鏦驄鶬
tshong2	tsong2		倉愴
tshong3	tsong3		刱創愴闖	
tshong5	tsong5		床戕牀潀樷叢欉	
tshoo	tsoo		初粗觕麄蹉麤	
tshoo2	tsoo2		草楚憷濋礎齱
tshoo3	tsoo3		阼厝祚措酢蜡醋錯	
tshop	tsoop		戳
tshu	tsu		姝穿苴蛆舒菹趄跙趑跐雎雌樞趨雛
tshu2	tsu2		鮆
tshu3	tsu3		次佽狙厝蚝娶處蛓趣覰覷
tshu5	tsu5		玼茈疵眦訾雌雛
tshu7	tsu7		泚娶焠跙嗾蹉覷覻	
tshua	tsua		撾髽
tshua2	tsua2		草繟
tshua3	tsua3		取娶蔡	
tshua5	tsua5		蛇檛
tshua7	tsua7		曳取抴拽娶導	
tshuah	tsuah		
tshuah8	tsuah8		斜	
tshuai7	tsuai7		顡
tshuan	tsuan		醛顓攛鐫躥
tshuan2	tsuan2		舛喘歂闖
tshuan3	tsuan3		舛串玔穿釧奧慣鋛篡篹竄闖纂爨
tshuan5	tsuan5		全拴舡船遄攢
tshuang	tsuang		穿裝
tshuang3	tsuang3		壯闖	
tshuang7	tsuang7		闖
tshuann	tsuann		閂	
tshuann2	tsuann2		杊剗鏟癬	
tshuann3	tsuann3		串穿閂燦竄闖	
tshuann5	tsuann5		穿撮橫
tshuann7	tsuann7		鱓	
tshuat	tsuat		啜敪撮輟蕞繓襊歠	
tshue	tsue		吹初妻炊
tshue2	tsue2		揣膸髓
tshue3	tsue3		切刷粞摖
tshue5	tsue5		捶跙摧箠	
tshue7	tsue7		尋	
tshueh	tsueh		切慽慼歠	
tshuh	tsuh		淬焠趨覰
tshui	tsui		吹炊崔推催摧蓷龡
tshui2	tsui2		惴揣遄漼璀髓
tshui3	tsui3		膬噿
tshui5	tsui5		摧箠
tshuinn	tsuinn		川村穿栓
tshuinn2	tsuinn2		
tshuinn3	tsuinn3		串穿釧	
tshun	tsun		伸村邨杶春偆剩萅椿鶉
tshun2	tsun2		忖舛荈偆喘賰踳蠢	
tshun3	tsun3		寸吋舛
tshun5	tsun5		存僎僔	
tshun7	tsun7		捘僔	
tshut	tsut		出卒齣	
tsi	ji		徐玆祗脂茲衹梔訾諸鳷
tsi2	ji2		姐拄芷呰咫恉指枳祉籽砥秭紙渚笫
tsi3	ji3		漬製誌幟摯質薦織贄觶識礩騺躓鑄
tsi5	ji5		糍餈薯薺糬藷鶿蠩
tsi7	ji7		巳住是柱炷祖舐埾跓聚駐	
tsia	jia		此者兹玆罝茲這菹嗟諸遮鎵	
tsia2	jia2		姐者媎赭鍺
tsia3	jia3		炙者柘借唶跡摭漈樜蔗褯藉鷓
tsia5	jia5		誰遮	
tsia7	jia7		炸褯謝藉
tsiah	jiah		即炙者則呰借脊迹隻這睫跡	
tsiah8	jiah8		吃炙食喫嚼籍	
tsiak	jiak		勺妁杓灼芍斫唧酌適櫛爵繳嚼爝
tsiak8	jiak8		咋着著灂	
